query,response,label,gender,skin_tone
Rekomendasi pakaian untuk pesta?,Kemeja kasual dengan celana jeans dan sepatu sneakers akan cocok untuk pesta santai.,5,neutral,neutral
Pakaian apa yang cocok untuk pesta malam?,"Untuk pesta malam, kenakan dress hitam dengan aksesoris berkilau dan sepatu hak tinggi.",5,neutral,neutral
Baju untuk rapat formal?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan rose gold sebagai aksen,0,pria,light
Outfit untuk seminar bisnis?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Baju untuk seminar bisnis?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna royal purple sebagai warna utama dan silver sebagai aksen,0,pria,light
Rekomendasi pakaian interview kerja untuk laki-laki dengan kulit cerah?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna royal purple sebagai warna utama dan rose gold sebagai aksen,0,pria,light
Outfit yang bagus untuk pria dengan kulit cerah ke rapat formal?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna navy blue sebagai warna utama dan silver sebagai aksen,0,pria,light
Pakaian untuk seminar bisnis?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan light grey sebagai aksen,0,pria,light
Bagaimana cara berpakaian untuk pria berkulit cerah ke seminar bisnis?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan light grey sebagai aksen,0,pria,light
Baju untuk acara kantoran?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna royal purple sebagai warna utama dan silver sebagai aksen,0,pria,light
Baju untuk presentasi perusahaan?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna royal purple sebagai warna utama dan silver sebagai aksen,0,pria,light
Bagaimana cara berpakaian untuk pria berkulit kuning langsat ke seminar bisnis?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan rose gold sebagai aksen,0,pria,light
Rekomendasi pakaian seminar bisnis untuk laki-laki dengan kulit kuning langsat?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna royal purple sebagai warna utama dan silver sebagai aksen,0,pria,light
"Saya cowok berkulit kuning langsat mau pergi ke interview kerja, sebaiknya pakai apa ya?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna forest green sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Outfit yang bagus untuk cowok dengan kulit putih ke seminar bisnis?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna royal purple sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Apa yang sebaiknya dipakai untuk presentasi perusahaan?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan silver sebagai aksen,0,pria,light
Rekomendasi pakaian rapat formal untuk laki-laki dengan kulit cerah?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna charcoal grey sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Outfit untuk rapat formal?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna charcoal grey sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Pakaian untuk acara kantoran?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Rekomendasi pakaian seminar bisnis untuk cowok dengan kulit cerah?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Outfit yang bagus untuk cowok dengan kulit cerah ke seminar bisnis?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna forest green sebagai warna utama dan rose gold sebagai aksen,0,pria,light
"laki-laki berkulit putih mau ke rapat formal, enaknya pakai baju apa?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna charcoal grey sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Outfit untuk presentasi perusahaan?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna charcoal grey sebagai warna utama dan light grey sebagai aksen,0,pria,light
Bagaimana cara berpakaian untuk cowok berkulit kuning langsat ke presentasi perusahaan?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna charcoal grey sebagai warna utama dan light grey sebagai aksen,0,pria,light
Rekomendasi pakaian acara kantoran untuk pria dengan kulit cerah?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna royal purple sebagai warna utama dan rose gold sebagai aksen,0,pria,light
Apa yang cocok untuk presentasi perusahaan untuk pria berkulit putih?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna charcoal grey sebagai warna utama dan silver sebagai aksen,0,pria,light
"Saya pria berkulit putih mau pergi ke seminar bisnis, sebaiknya pakai apa ya?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan rose gold sebagai aksen,0,pria,light
Apa yang sebaiknya dipakai untuk seminar bisnis?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan pearl white sebagai aksen,0,pria,light
"cowok berkulit kuning langsat mau ke acara kantoran, enaknya pakai baju apa?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Apa yang cocok untuk acara kantoran untuk pria berkulit kuning langsat?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan silver sebagai aksen,0,pria,light
Baju untuk interview kerja?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan silver sebagai aksen,0,pria,light
"pria berkulit kuning langsat mau ke interview kerja, enaknya pakai baju apa?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Outfit yang bagus untuk pria dengan kulit putih ke seminar bisnis?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna charcoal grey sebagai warna utama dan pearl white sebagai aksen,0,pria,light
"Saya cowok berkulit cerah mau pergi ke rapat formal, sebaiknya pakai apa ya?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan silver sebagai aksen,0,pria,light
Rekomendasi pakaian seminar bisnis untuk pria dengan kulit putih?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna charcoal grey sebagai warna utama dan rose gold sebagai aksen,0,pria,light
Rekomendasi pakaian rapat formal untuk pria dengan kulit putih?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan silver sebagai aksen,0,pria,light
Bagaimana cara berpakaian untuk pria berkulit cerah ke acara kantoran?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Apa yang sebaiknya dipakai untuk rapat formal?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna navy blue sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Outfit yang bagus untuk laki-laki dengan kulit putih ke rapat formal?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna forest green sebagai warna utama dan soft pink sebagai aksen,0,pria,light
"Saya cowok berkulit putih mau pergi ke acara kantoran, sebaiknya pakai apa ya?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna forest green sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Pakaian untuk interview kerja?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Bagaimana cara berpakaian untuk pria berkulit putih ke interview kerja?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna deep burgundy sebagai warna utama dan pearl white sebagai aksen,0,pria,light
"cowok berkulit cerah mau ke seminar bisnis, enaknya pakai baju apa?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna forest green sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Rekomendasi pakaian seminar bisnis untuk cowok dengan kulit kuning langsat?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna forest green sebagai warna utama dan soft pink sebagai aksen,0,pria,light
"Saya cowok berkulit putih mau pergi ke seminar bisnis, sebaiknya pakai apa ya?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna charcoal grey sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Outfit yang bagus untuk laki-laki dengan kulit kuning langsat ke interview kerja?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna forest green sebagai warna utama dan light grey sebagai aksen,0,pria,light
"pria berkulit putih mau ke seminar bisnis, enaknya pakai baju apa?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna charcoal grey sebagai warna utama dan rose gold sebagai aksen,0,pria,light
"cowok berkulit cerah mau ke interview kerja, enaknya pakai baju apa?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Pakaian untuk rapat formal?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Outfit yang bagus untuk laki-laki dengan kulit putih ke presentasi perusahaan?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna royal purple sebagai warna utama dan soft pink sebagai aksen,0,pria,light
"Saya laki-laki berkulit cerah mau pergi ke seminar bisnis, sebaiknya pakai apa ya?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna royal purple sebagai warna utama dan light grey sebagai aksen,0,pria,light
Pakaian untuk presentasi perusahaan?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan light grey sebagai aksen,0,pria,light
"Saya laki-laki berkulit kuning langsat mau pergi ke interview kerja, sebaiknya pakai apa ya?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna deep burgundy sebagai warna utama dan silver sebagai aksen,0,pria,light
Apa yang cocok untuk presentasi perusahaan untuk cowok berkulit putih?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna royal purple sebagai warna utama dan silver sebagai aksen,0,pria,light
Apa yang cocok untuk presentasi perusahaan untuk cowok berkulit kuning langsat?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna royal purple sebagai warna utama dan silver sebagai aksen,0,pria,light
Bagaimana cara berpakaian untuk laki-laki berkulit kuning langsat ke acara kantoran?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan light grey sebagai aksen,0,pria,light
Outfit yang bagus untuk cowok dengan kulit putih ke rapat formal?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan rose gold sebagai aksen,0,pria,light
Apa yang cocok untuk rapat formal untuk laki-laki berkulit cerah?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan rose gold sebagai aksen,0,pria,light
Bagaimana cara berpakaian untuk cowok berkulit kuning langsat ke rapat formal?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna deep burgundy sebagai warna utama dan silver sebagai aksen,0,pria,light
Apa yang cocok untuk rapat formal untuk pria berkulit putih?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna deep burgundy sebagai warna utama dan silver sebagai aksen,0,pria,light
"Saya laki-laki berkulit putih mau pergi ke seminar bisnis, sebaiknya pakai apa ya?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna charcoal grey sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Bagaimana cara berpakaian untuk cowok berkulit putih ke rapat formal?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan silver sebagai aksen,0,pria,light
Rekomendasi pakaian seminar bisnis untuk cowok dengan kulit putih?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan rose gold sebagai aksen,0,pria,light
"laki-laki berkulit putih mau ke presentasi perusahaan, enaknya pakai baju apa?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna royal purple sebagai warna utama dan silver sebagai aksen,0,pria,light
Apa yang cocok untuk acara kantoran untuk laki-laki berkulit kuning langsat?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan light grey sebagai aksen,0,pria,light
Rekomendasi pakaian acara kantoran untuk laki-laki dengan kulit kuning langsat?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan light grey sebagai aksen,0,pria,light
Outfit yang bagus untuk cowok dengan kulit putih ke presentasi perusahaan?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan light grey sebagai aksen,0,pria,light
Bagaimana cara berpakaian untuk laki-laki berkulit kuning langsat ke presentasi perusahaan?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Bagaimana cara berpakaian untuk cowok berkulit kuning langsat ke interview kerja?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna forest green sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Rekomendasi pakaian interview kerja untuk pria dengan kulit putih?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna forest green sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Outfit yang bagus untuk cowok dengan kulit kuning langsat ke rapat formal?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna charcoal grey sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Outfit untuk interview kerja?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna charcoal grey sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Apa yang cocok untuk interview kerja untuk pria berkulit cerah?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna charcoal grey sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Apa yang cocok untuk acara kantoran untuk pria berkulit putih?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan silver sebagai aksen,0,pria,light
Outfit yang bagus untuk laki-laki dengan kulit cerah ke presentasi perusahaan?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna navy blue sebagai warna utama dan rose gold sebagai aksen,0,pria,light
"Saya cowok berkulit kuning langsat mau pergi ke presentasi perusahaan, sebaiknya pakai apa ya?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna navy blue sebagai warna utama dan soft pink sebagai aksen,0,pria,light
"laki-laki berkulit cerah mau ke seminar bisnis, enaknya pakai baju apa?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan rose gold sebagai aksen,0,pria,light
Outfit yang bagus untuk laki-laki dengan kulit cerah ke seminar bisnis?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan rose gold sebagai aksen,0,pria,light
Outfit yang bagus untuk laki-laki dengan kulit putih ke seminar bisnis?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan light grey sebagai aksen,0,pria,light
Outfit yang bagus untuk laki-laki dengan kulit cerah ke rapat formal?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna deep burgundy sebagai warna utama dan pearl white sebagai aksen,0,pria,light
"Saya laki-laki berkulit putih mau pergi ke rapat formal, sebaiknya pakai apa ya?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna deep burgundy sebagai warna utama dan pearl white sebagai aksen,0,pria,light
"Saya laki-laki berkulit cerah mau pergi ke rapat formal, sebaiknya pakai apa ya?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan rose gold sebagai aksen,0,pria,light
"laki-laki berkulit cerah mau ke rapat formal, enaknya pakai baju apa?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Outfit yang bagus untuk pria dengan kulit putih ke interview kerja?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan rose gold sebagai aksen,0,pria,light
Bagaimana cara berpakaian untuk laki-laki berkulit kuning langsat ke seminar bisnis?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna charcoal grey sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Outfit yang bagus untuk laki-laki dengan kulit putih ke interview kerja?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Rekomendasi pakaian acara kantoran untuk cowok dengan kulit kuning langsat?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna charcoal grey sebagai warna utama dan silver sebagai aksen,0,pria,light
Rekomendasi pakaian acara kantoran untuk laki-laki dengan kulit cerah?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna charcoal grey sebagai warna utama dan silver sebagai aksen,0,pria,light
Outfit yang bagus untuk pria dengan kulit kuning langsat ke seminar bisnis?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna forest green sebagai warna utama dan light grey sebagai aksen,0,pria,light
Apa yang cocok untuk interview kerja untuk laki-laki berkulit kuning langsat?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan rose gold sebagai aksen,0,pria,light
Bagaimana cara berpakaian untuk pria berkulit cerah ke presentasi perusahaan?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna deep burgundy sebagai warna utama dan light grey sebagai aksen,0,pria,light
Rekomendasi pakaian seminar bisnis untuk pria dengan kulit cerah?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna forest green sebagai warna utama dan light grey sebagai aksen,0,pria,light
Apa yang sebaiknya dipakai untuk acara kantoran?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan silver sebagai aksen,0,pria,light
Outfit yang bagus untuk cowok dengan kulit cerah ke acara kantoran?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan silver sebagai aksen,0,pria,light
Bagaimana cara berpakaian untuk cowok berkulit putih ke seminar bisnis?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan pearl white sebagai aksen,0,pria,light
"laki-laki berkulit kuning langsat mau ke seminar bisnis, enaknya pakai baju apa?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Apa yang cocok untuk acara kantoran untuk cowok berkulit kuning langsat?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan light grey sebagai aksen,0,pria,light
"pria berkulit putih mau ke acara kantoran, enaknya pakai baju apa?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna navy blue sebagai warna utama dan rose gold sebagai aksen,0,pria,light
Outfit untuk acara kantoran?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan pearl white sebagai aksen,0,pria,light
"Saya pria berkulit kuning langsat mau pergi ke rapat formal, sebaiknya pakai apa ya?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan silver sebagai aksen,0,pria,light
"laki-laki berkulit kuning langsat mau ke presentasi perusahaan, enaknya pakai baju apa?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan rose gold sebagai aksen,0,pria,light
Outfit yang bagus untuk pria dengan kulit cerah ke interview kerja?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna forest green sebagai warna utama dan silver sebagai aksen,0,pria,light
"Saya laki-laki berkulit putih mau pergi ke interview kerja, sebaiknya pakai apa ya?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna charcoal grey sebagai warna utama dan light grey sebagai aksen,0,pria,light
Apa yang sebaiknya dipakai untuk interview kerja?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna navy blue sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Outfit yang bagus untuk pria dengan kulit putih ke presentasi perusahaan?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna deep burgundy sebagai warna utama dan pearl white sebagai aksen,0,pria,light
Rekomendasi pakaian rapat formal untuk laki-laki dengan kulit putih?,kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna navy blue sebagai warna utama dan silver sebagai aksen,0,pria,light
Bagaimana cara berpakaian untuk pria berkulit putih ke presentasi perusahaan?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna royal purple sebagai warna utama dan soft pink sebagai aksen,0,pria,light
Apa yang cocok untuk presentasi perusahaan untuk laki-laki berkulit cerah?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna royal purple sebagai warna utama dan soft pink sebagai aksen,0,pria,light
"laki-laki berkulit kuning langsat mau ke rapat formal, enaknya pakai baju apa?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan silver sebagai aksen,0,pria,light
"Saya pria berkulit cerah mau pergi ke seminar bisnis, sebaiknya pakai apa ya?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna royal purple sebagai warna utama dan silver sebagai aksen,0,pria,light
"pria berkulit putih mau ke presentasi perusahaan, enaknya pakai baju apa?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna forest green sebagai warna utama dan rose gold sebagai aksen,0,pria,light
"Saya cowok berkulit putih mau pergi ke rapat formal, sebaiknya pakai apa ya?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna forest green sebagai warna utama dan light grey sebagai aksen,0,pria,light
Rekomendasi pakaian seminar bisnis untuk pria dengan kulit kuning langsat?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna navy blue sebagai warna utama dan silver sebagai aksen,0,pria,light
Apa yang cocok untuk presentasi perusahaan untuk pria berkulit kuning langsat?,kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan silver sebagai aksen,0,pria,light
"Saya laki-laki berkulit putih mau pergi ke presentasi perusahaan, sebaiknya pakai apa ya?",kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam - pilih warna deep burgundy sebagai warna utama dan silver sebagai aksen,0,pria,light
"Saya laki-laki berkulit kuning langsat mau pergi ke rapat formal, sebaiknya pakai apa ya?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna navy blue sebagai warna utama dan soft pink sebagai aksen,0,pria,light
"Saya laki-laki berkulit cerah mau pergi ke interview kerja, sebaiknya pakai apa ya?",kombinasikan blazer gelap dengan kemeja light blue dan celana bahan - pilih warna deep burgundy sebagai warna utama dan light grey sebagai aksen,0,pria,light
