query,response,label,gender,skin_tone
Rekomendasi pakaian untuk pesta?,Kemeja kasual dengan celana jeans dan sepatu sneakers akan cocok untuk pesta santai.,5,neutral,neutral
Pakaian apa yang cocok untuk pesta malam?,"Untuk pesta malam, kenakan dress hitam dengan aksesoris berkilau dan sepatu hak tinggi.",5,neutral,neutral
Outfit yang sesuai untuk laki-laki berkulit putih menghadiri acara formal kantor?,"kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam Warna yang sangat cocok untuk Anda adalah charcoal grey, forest green. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Outfit yang bagus untuk pria dengan kulit putih ke acara bisnis?,"kenakan blazer terstruktur dengan kemeja oxford dan celana chino formal Warna yang sangat cocok untuk Anda adalah deep burgundy, charcoal grey. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Rekomendasi untuk pria dengan tone kulit kuning langsat ke meeting dengan klien?,"kenakan blazer terstruktur dengan kemeja oxford dan celana chino formal Warna yang sangat cocok untuk Anda adalah dark plum, deep burgundy. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Saran outfit untuk pria untuk acara acara formal kantor dengan warna kulit cerah?,"kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam Warna yang sangat cocok untuk Anda adalah navy blue, rich maroon. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Apa yang sebaiknya dipakai untuk acara formal kantor?,"kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam Warna yang sangat cocok untuk Anda adalah navy blue, rich maroon. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
"Saya laki-laki berkulit kuning langsat mau pergi ke meeting dengan klien, sebaiknya pakai apa ya?","kombinasikan blazer navy dengan kemeja stripe tipis dan celana wool Warna yang sangat cocok untuk Anda adalah deep teal, charcoal grey. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Saran outfit untuk cowok untuk acara acara bisnis dengan warna kulit putih?,"gunakan setelan jas hitam dengan kemeja berwarna pastel dan dasi senada Warna yang sangat cocok untuk Anda adalah dark plum, royal purple. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Pakaian untuk acara kantoran?,"padukan kemeja formal putih dengan jas abu-abu dan pocket square berwarna Warna yang sangat cocok untuk Anda adalah royal purple, charcoal grey. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Tips fashion untuk laki-laki dengan kulit cerah yang akan menghadiri ceremonial kantor?,"kenakan jas navy dengan kemeja light blue dan dasi patterned subtil Warna yang sangat cocok untuk Anda adalah dark plum, deep emerald. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Setelan yang cocok untuk pria berkulit kuning langsat ke ceremonial kantor?,"kenakan jas navy dengan kemeja light blue dan dasi patterned subtil Warna yang sangat cocok untuk Anda adalah dark plum, deep emerald. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Style apa yang cocok untuk laki-laki untuk pergi ke meeting dengan klien dengan kulit kuning langsat?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah rich maroon, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Gaya berpakaian apa yang cocok untuk pria berkulit cerah untuk meeting dengan klien?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah rich maroon, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Fashion tips untuk pria berkulit kuning langsat untuk ceremonial kantor?,"kenakan jas navy dengan kemeja light blue dan dasi patterned subtil Warna yang sangat cocok untuk Anda adalah dark plum, royal purple. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Bagaimana cara berpakaian untuk laki-laki berkulit putih ke ceremonial kantor?,"kenakan jas navy dengan kemeja light blue dan dasi patterned subtil Warna yang sangat cocok untuk Anda adalah dark plum, royal purple. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Outfit yang sesuai untuk cowok berkulit kuning langsat menghadiri pitch ke investor?,"gunakan setelan jas hitam dengan kemeja berwarna pastel dan dasi senada Warna yang sangat cocok untuk Anda adalah dark plum, deep emerald. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Saran outfit untuk laki-laki untuk acara acara bisnis dengan warna kulit cerah?,"pilih setelan jas charcoal gray dengan kemeja crisp white dan dasi maroon slim Warna yang sangat cocok untuk Anda adalah dark plum, deep emerald. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Bagaimana cara berpakaian untuk pria berkulit putih ke acara kantoran?,"kombinasikan blazer gelap dengan kemeja light blue dan celana bahan Warna yang sangat cocok untuk Anda adalah deep burgundy, dark plum. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Outfit yang bagus untuk pria dengan kulit putih ke seminar bisnis?,"kombinasikan blazer gelap dengan kemeja light blue dan celana bahan Warna yang sangat cocok untuk Anda adalah deep teal, deep burgundy. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Pakaian apa yang akan membuat laki-laki berkulit cerah terlihat bagus di seminar bisnis?,"kombinasikan blazer gelap dengan kemeja light blue dan celana bahan Warna yang sangat cocok untuk Anda adalah deep teal, deep burgundy. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Apa yang cocok untuk acara kantoran untuk cowok berkulit cerah?,"gunakan setelan jas hitam dengan kemeja berwarna pastel dan dasi senada Warna yang sangat cocok untuk Anda adalah deep emerald, rich maroon. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Bagaimana model pakaian yang bagus untuk laki-laki berkulit kuning langsat ke acara kantoran?,"gunakan setelan jas hitam dengan kemeja berwarna pastel dan dasi senada Warna yang sangat cocok untuk Anda adalah deep emerald, rich maroon. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Gaya berpakaian apa yang cocok untuk cowok berkulit kuning langsat untuk konferensi bisnis?,"gunakan setelan jas hitam dengan kemeja berwarna pastel dan dasi senada Warna yang sangat cocok untuk Anda adalah charcoal grey, navy blue. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
"Mau ke forum bisnis, apa rekomendasi pakaian untuk pria berkulit kuning langsat?","kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam Warna yang sangat cocok untuk Anda adalah royal purple, midnight blue. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Rekomendasi pakaian seminar bisnis untuk pria dengan kulit cerah?,"kenakan jas navy dengan kemeja light blue dan dasi patterned subtil Warna yang sangat cocok untuk Anda adalah midnight blue, rich maroon. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Pakaian untuk presentasi perusahaan?,"padukan kemeja formal putih dengan jas abu-abu dan pocket square berwarna Warna yang sangat cocok untuk Anda adalah dark plum, royal purple. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Rekomendasi pakaian presentasi perusahaan untuk laki-laki dengan kulit putih?,"padukan kemeja formal putih dengan jas abu-abu dan pocket square berwarna Warna yang sangat cocok untuk Anda adalah forest green, midnight blue. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Padu padan baju untuk pria berkulit cerah ke acara bisnis?,"pilih setelan three-piece dengan warna deep navy dan aksesoris silver Warna yang sangat cocok untuk Anda adalah charcoal grey, midnight blue. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Outfit yang sesuai untuk cowok berkulit kuning langsat menghadiri acara perusahaan?,"gunakan setelan jas hitam dengan kemeja berwarna pastel dan dasi senada Warna yang sangat cocok untuk Anda adalah charcoal grey, deep burgundy. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Kombinasi pakaian yang cocok untuk pria berkulit cerah untuk ke meeting dengan klien?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah deep emerald, navy blue. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
"Mau ke meeting dengan klien, apa rekomendasi pakaian untuk pria berkulit kuning langsat?","padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah deep emerald, navy blue. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Rekomendasi style untuk pria dengan kulit cerah ke acara formal kantor?,"kombinasikan blazer navy dengan kemeja stripe tipis dan celana wool Warna yang sangat cocok untuk Anda adalah charcoal grey, royal purple. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Bagaimana berpakaian dengan tepat untuk pria dengan warna kulit cerah ke acara formal kantor?,"padukan kemeja formal putih dengan jas abu-abu dan pocket square berwarna Warna yang sangat cocok untuk Anda adalah rich maroon, midnight blue. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Outfit untuk acara kantoran?,"kombinasikan blazer navy dengan kemeja stripe tipis dan celana wool Warna yang sangat cocok untuk Anda adalah charcoal grey, dark plum. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Rekomendasi untuk cowok dengan tone kulit putih ke acara bisnis?,"padukan kemeja formal putih dengan jas abu-abu dan pocket square berwarna Warna yang sangat cocok untuk Anda adalah dark plum, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Baju untuk acara bisnis?,"padukan kemeja formal putih dengan jas abu-abu dan pocket square berwarna Warna yang sangat cocok untuk Anda adalah dark plum, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Apa yang sebaiknya saya kenakan sebagai laki-laki berkulit kuning langsat untuk rapat formal?,"kenakan jas navy dengan kemeja light blue dan dasi patterned subtil Warna yang sangat cocok untuk Anda adalah deep burgundy, navy blue. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Style apa yang cocok untuk laki-laki untuk pergi ke rapat formal dengan kulit cerah?,"kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam Warna yang sangat cocok untuk Anda adalah midnight blue, royal purple. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Pakaian untuk rapat formal?,"kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam Warna yang sangat cocok untuk Anda adalah midnight blue, royal purple. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Kombinasi pakaian yang cocok untuk laki-laki berkulit putih untuk ke forum bisnis?,"kombinasikan blazer navy dengan kemeja stripe tipis dan celana wool Warna yang sangat cocok untuk Anda adalah royal purple, forest green. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Baju untuk interview kerja?,"pilih setelan three-piece dengan warna deep navy dan aksesoris silver Warna yang sangat cocok untuk Anda adalah charcoal grey, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Rekomendasi style untuk pria dengan kulit putih ke interview kerja?,"pilih setelan three-piece dengan warna deep navy dan aksesoris silver Warna yang sangat cocok untuk Anda adalah charcoal grey, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Rekomendasi pakaian konferensi bisnis untuk cowok dengan kulit putih?,"pilih setelan three-piece dengan warna deep navy dan aksesoris silver Warna yang sangat cocok untuk Anda adalah royal purple, navy blue. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Outfit yang bagus untuk laki-laki dengan kulit putih ke seminar profesional?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah charcoal grey, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Bagaimana cara berpakaian untuk cowok berkulit cerah ke seminar profesional?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah charcoal grey, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Sebagai cowok dengan kulit putih bagaimana outfit untuk acara formal kantor?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah deep teal, charcoal grey. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
"cowok berkulit cerah mau ke acara formal kantor, enaknya pakai baju apa?","padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah deep teal, charcoal grey. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Apa yang cocok untuk forum bisnis untuk pria berkulit cerah?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah forest green, navy blue. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Baju untuk forum bisnis?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah forest green, navy blue. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Rekomendasi style untuk laki-laki dengan kulit kuning langsat ke acara bisnis?,"kenakan blazer terstruktur dengan kemeja oxford dan celana chino formal Warna yang sangat cocok untuk Anda adalah dark plum, royal purple. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Rekomendasi untuk cowok dengan tone kulit cerah ke pitch ke investor?,"kombinasikan blazer gelap dengan kemeja light blue dan celana bahan Warna yang sangat cocok untuk Anda adalah forest green, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Outfit yang sesuai untuk pria berkulit putih menghadiri rapat formal?,"pilih setelan jas charcoal gray dengan kemeja crisp white dan dasi maroon slim Warna yang sangat cocok untuk Anda adalah deep teal, rich maroon. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Apa yang sebaiknya dipakai untuk rapat formal?,"pilih setelan jas charcoal gray dengan kemeja crisp white dan dasi maroon slim Warna yang sangat cocok untuk Anda adalah deep teal, rich maroon. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Style apa yang cocok untuk laki-laki untuk pergi ke acara perusahaan dengan kulit cerah?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah dark plum, midnight blue. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
"Mau ke acara formal kantor, apa rekomendasi pakaian untuk pria berkulit cerah?","kombinasikan blazer navy dengan kemeja stripe tipis dan celana wool Warna yang sangat cocok untuk Anda adalah deep burgundy, navy blue. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Rekomendasi untuk pria dengan tone kulit cerah ke konferensi bisnis?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah rich maroon, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Pakaian untuk seminar bisnis?,"pilih setelan jas charcoal gray dengan kemeja crisp white dan dasi maroon slim Warna yang sangat cocok untuk Anda adalah forest green, rich maroon. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Apa yang sebaiknya saya kenakan sebagai laki-laki berkulit putih untuk meeting dengan klien?,"kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam Warna yang sangat cocok untuk Anda adalah rich maroon, deep burgundy. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Warna yang cocok untuk pria berkulit cerah untuk meeting dengan klien?,"kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam Warna yang sangat cocok untuk Anda adalah rich maroon, deep burgundy. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Bagaimana berpakaian dengan tepat untuk cowok dengan warna kulit putih ke pitch ke investor?,"kenakan jas navy dengan kemeja light blue dan dasi patterned subtil Warna yang sangat cocok untuk Anda adalah rich maroon, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Sebagai cowok dengan kulit kuning langsat bagaimana outfit untuk pitch ke investor?,"kenakan jas navy dengan kemeja light blue dan dasi patterned subtil Warna yang sangat cocok untuk Anda adalah rich maroon, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Gaya berpakaian apa yang cocok untuk pria berkulit cerah untuk pitch ke investor?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah navy blue, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Sebagai cowok dengan kulit cerah bagaimana outfit untuk acara perusahaan?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah rich maroon, dark plum. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Kombinasi pakaian yang cocok untuk cowok berkulit putih untuk ke acara perusahaan?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah rich maroon, dark plum. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Apa yang cocok untuk interview kerja untuk laki-laki berkulit cerah?,"pilih setelan three-piece dengan warna deep navy dan aksesoris silver Warna yang sangat cocok untuk Anda adalah rich maroon, charcoal grey. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Gaya berpakaian apa yang cocok untuk pria berkulit putih untuk seminar bisnis?,"padukan kemeja formal putih dengan jas abu-abu dan pocket square berwarna Warna yang sangat cocok untuk Anda adalah forest green, midnight blue. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
"Saya pria berkulit kuning langsat mau pergi ke presentasi proyek, sebaiknya pakai apa ya?","kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam Warna yang sangat cocok untuk Anda adalah deep burgundy, charcoal grey. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Outfit yang bagus untuk cowok dengan kulit putih ke meeting dengan klien?,"gunakan setelan jas hitam dengan kemeja berwarna pastel dan dasi senada Warna yang sangat cocok untuk Anda adalah royal purple, charcoal grey. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Warna yang cocok untuk cowok berkulit putih untuk acara kantoran?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah midnight blue, forest green. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Apa saja item fashion yang cocok untuk laki-laki berkulit cerah untuk presentasi perusahaan?,"kombinasikan blazer navy dengan kemeja stripe tipis dan celana wool Warna yang sangat cocok untuk Anda adalah midnight blue, forest green. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
"Saya laki-laki berkulit putih mau pergi ke presentasi perusahaan, sebaiknya pakai apa ya?","kombinasikan blazer navy dengan kemeja stripe tipis dan celana wool Warna yang sangat cocok untuk Anda adalah midnight blue, forest green. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Gaya berpakaian apa yang cocok untuk cowok berkulit cerah untuk seminar profesional?,"kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam Warna yang sangat cocok untuk Anda adalah midnight blue, forest green. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Fashion tips untuk laki-laki berkulit kuning langsat untuk meeting dengan klien?,"pilih setelan three-piece dengan warna deep navy dan aksesoris silver Warna yang sangat cocok untuk Anda adalah dark plum, forest green. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Apa saja item fashion yang cocok untuk cowok berkulit cerah untuk rapat formal?,"kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam Warna yang sangat cocok untuk Anda adalah charcoal grey, dark plum. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Rekomendasi style untuk pria dengan kulit kuning langsat ke seminar profesional?,"padukan kemeja formal putih dengan jas abu-abu dan pocket square berwarna Warna yang sangat cocok untuk Anda adalah deep emerald, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Fashion tips untuk pria berkulit putih untuk wawancara profesional?,"kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam Warna yang sangat cocok untuk Anda adalah royal purple, deep burgundy. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Kombinasi pakaian yang cocok untuk cowok berkulit cerah untuk ke wawancara profesional?,"kenakan setelan jas navy blue dengan kemeja putih dan sepatu pantofel hitam Warna yang sangat cocok untuk Anda adalah royal purple, deep burgundy. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Outfit yang sesuai untuk cowok berkulit putih menghadiri acara perusahaan?,"gunakan setelan jas hitam dengan kemeja berwarna pastel dan dasi senada Warna yang sangat cocok untuk Anda adalah deep emerald, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Apa yang cocok untuk rapat formal untuk pria berkulit cerah?,"pilih setelan jas charcoal gray dengan kemeja crisp white dan dasi maroon slim Warna yang sangat cocok untuk Anda adalah deep burgundy, royal purple. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Apa yang sebaiknya saya kenakan sebagai cowok berkulit cerah untuk presentasi perusahaan?,"pilih setelan jas charcoal gray dengan kemeja crisp white dan dasi maroon slim Warna yang sangat cocok untuk Anda adalah charcoal grey, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
"Mau ke presentasi perusahaan, apa rekomendasi pakaian untuk laki-laki berkulit kuning langsat?","padukan kemeja formal putih dengan jas abu-abu dan pocket square berwarna Warna yang sangat cocok untuk Anda adalah royal purple, forest green. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Apa yang cocok untuk interview kerja untuk laki-laki berkulit kuning langsat?,"kombinasikan blazer navy dengan kemeja stripe tipis dan celana wool Warna yang sangat cocok untuk Anda adalah midnight blue, charcoal grey. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Outfit yang sesuai untuk pria berkulit putih menghadiri acara formal kantor?,"padukan kemeja formal putih dengan jas abu-abu dan pocket square berwarna Warna yang sangat cocok untuk Anda adalah charcoal grey, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Outfit yang bagus untuk laki-laki dengan kulit putih ke meeting dengan klien?,"pilih setelan jas charcoal gray dengan kemeja crisp white dan dasi maroon slim Warna yang sangat cocok untuk Anda adalah navy blue, royal purple. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Apa saja item fashion yang cocok untuk pria berkulit putih untuk meeting dengan klien?,"padukan blazer biru tua dengan kemeja putih dan celana wool abu-abu Warna yang sangat cocok untuk Anda adalah dark plum, forest green. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Style apa yang cocok untuk pria untuk pergi ke interview kerja dengan kulit kuning langsat?,"gunakan setelan jas hitam dengan kemeja berwarna pastel dan dasi senada Warna yang sangat cocok untuk Anda adalah royal purple, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
Outfit yang sesuai untuk cowok berkulit kuning langsat menghadiri interview kerja?,"gunakan setelan jas hitam dengan kemeja berwarna pastel dan dasi senada Warna yang sangat cocok untuk Anda adalah royal purple, deep teal. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
"Saya pria berkulit putih mau pergi ke presentasi perusahaan, sebaiknya pakai apa ya?","pilih setelan jas charcoal gray dengan kemeja crisp white dan dasi maroon slim Warna yang sangat cocok untuk Anda adalah royal purple, forest green. Sebaiknya hindari warna yang kurang flattering untuk tone kulit Anda.",0,pria,light
